nom,producteur,origine,volume,degre,type
Single Cask (XO) - Guyana 28 Years (Enmore),Bonpland,Allemagne,70.0,45.0,Vieux
Single Cask (XO) - Jamaica 18 Years (Hampden),Bonpland,Allemagne,70.0,45.0,Vieux
Single Cask (XO) - Nicaragua 18 Years,Bonpland,Allemagne,70.0,45.0,Vieux
Single Cask (XO) - St. Lucia 14 Years,Bonpland,Allemagne,70.0,45.0,Vieux
Single Cask (XO) - Trinidad 21 Years (Caroni),Bonpland,Allemagne,70.0,50.0,Vieux
Sombre (Dark Rum),Bonpland,Allemagne,70.0,40.0,Vieux
Black Spiced Rum,Bristol Classic Rum,Angleterre,70.0,42.0,Spiced
Caribbean Collection,Bristol Classic Rum,Angleterre,70.0,40.0,Vieux
Caroni Blended 1999,Bristol Classic Rum,Angleterre,70.0,43.1,Vieux
Caroni Felicite Gold,Bristol Classic Rum,Angleterre,70.0,40.0,Ambre
Caroni VSOC,Bristol Classic Rum,Angleterre,70.0,40.0,Vieux
Demerara Rum Enmore Still - 1988,Bristol Classic Rum,Angleterre,70.0,43.0,Vieux
Diamond Distillery Demerara Rum - 1998,Bristol Classic Rum,Angleterre,70.0,40.0,Vieux
Diamond Distillery Demerara Rum - 2003,Bristol Classic Rum,Angleterre,70.0,43.0,Vieux
Fine Barbados Rockley Still - 12 Years (1986-1998) - West Indies,Bristol Classic Rum,Angleterre,70.0,46.0,Vieux
"Fine Barbados Rockley Still (Millesime 1986-2012, Sherry Finish) - West Indies",Bristol Classic Rum,Angleterre,70.0,46.0,Vieux
Fine Barbados 2003-2012 (Foursquare),Bristol Classic Rum,Angleterre,70.0,43.0,Vieux
Fine Barbados 2004-2013 (Foursquare),Bristol Classic Rum,Angleterre,70.0,43.0,Vieux
Fine Barbados 2004-2016 (Foursquare),Bristol Classic Rum,Angleterre,70.0,46.0,Vieux
Fine Cuban Rum 2003-2013 (Sancti Spiritus),Bristol Classic Rum,Angleterre,70.0,43.0,Vieux
Fine Cuban Rum 2003-2015 (Sancti Spiritus),Bristol Classic Rum,Angleterre,70.0,43.0,Vieux
Fine Cuban Rum 2003-2016 (Sancti Spiritus),Bristol Classic Rum,Angleterre,70.0,43.0,Vieux
Finest Demerara Rum Enmore - 1988-2018 (Sherry Finish),Bristol Classic Rum,Angleterre,70.0,46.5,Vieux
Finest Mauritus Cane Juice Rhum (Labourdonnais),Bristol Classic Rum,Angleterre,70.0,43.0,Vieux
Finest Mauritus 5 Ans (Labourdonnais),Bristol Classic Rum,Angleterre,70.0,43.0,Vieux
Finest Trinidad Rum - Caroni 1974-2008,Bristol Classic Rum,Angleterre,70.0,46.0,Vieux
Finest Trinidad Rum - Caroni 1989,Bristol Classic Rum,Angleterre,70.0,43.0,Vieux
Finest Trinidad Rum 1423 - Caroni 1993,Bristol Classic Rum,Angleterre,70.0,51.9,Vieux
Finest Trinidad Rum - Caroni 1995-2015,Bristol Classic Rum,Angleterre,70.0,63.1,Vieux
Finest Trinidad Rum - Caroni 1996-2010,Bristol Classic Rum,Angleterre,70.0,43.0,Vieux
Finest Trinidad Rum - Caroni 1996-2013,Bristol Classic Rum,Angleterre,70.0,43.0,Vieux
Finest Trinidad Rum - Caroni 1996-2014,Bristol Classic Rum,Angleterre,70.0,46.0,Vieux
Finest Trinidad Rum - Caroni 1997-2016,Bristol Classic Rum,Angleterre,70.0,61.5,Vieux
Finest Trinidad Rum - Caroni 1997-2017,Bristol Classic Rum,Angleterre,70.0,61.5,Vieux
Finest Trinidad Rum - Caroni 1997-2019,Bristol Classic Rum,Angleterre,70.0,56.4,Vieux
Finest Trinidad Rum - Caroni 1998-2008,Bristol Classic Rum,Angleterre,70.0,40.0,Vieux
Finest Trinidad Rum - Caroni 1998-2013,Bristol Classic Rum,Angleterre,70.0,40.0,Vieux
Finest Trinidad Rum - Caroni 1998-2015,Bristol Classic Rum,Angleterre,70.0,40.0,Vieux
Haiti 2004 Barbancourt,Bristol Classic Rum,Angleterre,70.0,43.0,Vieux
Jamaica Long Pond - 13 Years,Bristol Classic Rum,Angleterre,70.0,46.0,Vieux
Jamaica Monymusk - 21 Years,Bristol Classic Rum,Angleterre,70.0,46.0,Vieux
Jamaica Monymusk Still - 23 Years,Bristol Classic Rum,Angleterre,70.0,46.0,Vieux
Jamaica Rum 2002 - Vale Royal Wedderburn,Bristol Classic Rum,Angleterre,70.0,43.0,Vieux
Old Demerara Rum - 1985 Versailles Still (Enmore),Bristol Classic Rum,Angleterre,70.0,46.0,Vieux
Port Mourant Demerara Rum - 1980 (Diamond),Bristol Classic Rum,Angleterre,70.0,51.0,Vieux
Port Mourant Demerara Rum 17 Ans - 1990 (Diamond),Bristol Classic Rum,Angleterre,70.0,46.0,Vieux
Port Morant Demerara Rum 25 Ans - 1990 (Diamond),Bristol Classic Rum,Angleterre,70.0,46.0,Vieux
Port Mourant Demerara Rum - 1999-2013 (Diamond),Bristol Classic Rum,Angleterre,70.0,46.0,Vieux
Port Mourant Demerara Rum - 1999-2014 (Diamond),Bristol Classic Rum,Angleterre,70.0,46.0,Vieux
Port Mourant Demerara Rum - 1999-2015 (Diamond),Bristol Classic Rum,Angleterre,70.0,46.0,Vieux
Port Mourant Demerara Rum - 2008-2018 (Diamond),Bristol Classic Rum,Angleterre,70.0,43.0,Vieux
Port Mourant Still Demerara - 12 Years (Uitvlugt),Bristol Classic Rum,Angleterre,70.0,46.0,Vieux
Reserve Rum of Belize (2005),Bristol Classic Rum,Angleterre,70.0,46.0,Vieux
Reserve Rum of Grenada -  2003 (Westerhall),Bristol Classic Rum,Angleterre,70.0,43.0,Vieux
Reserve Rum of Haiti - 2004-2014,Bristol Classic Rum,Angleterre,70.0,43.0,Vieux
Reserve Rum of Haiti - 2004-2016,Bristol Classic Rum,Angleterre,70.0,43.0,Vieux
Reserve Rum of Jamaica 8 Ans Worthy Park,Bristol Classic Rum,Angleterre,70.0,43.0,Vieux
Reserve Rum of Mauritus - 2010-2015,Bristol Classic Rum,Angleterre,70.0,43.0,Vieux
Reserve Rum of Nicaragua - 1999-2017,Bristol Classic Rum,Angleterre,70.0,43.0,Vieux
Reserve Rum of Nicaragua - 2002-2013,Bristol Classic Rum,Angleterre,70.0,40.0,Vieux
Reserve Rum of Nicaragua - 2002-2015,Bristol Classic Rum,Angleterre,70.0,40.0,Vieux
Reserve Rum Of Peru - 8 Years Old,Bristol Classic Rum,Angleterre,70.0,40.0,Vieux
Reserve Rum Of Trinidad - 10 Years Old Caroni,Bristol Classic Rum,Angleterre,70.0,46.0,Vieux
Single Cask Demerara Versailles (Enmore),Bristol Classic Rum,Angleterre,70.0,46.0,Vieux
Single Demerara Rum From Versailles Distillery (Aged 11 Years)  - Cask #8447,Bristol Classic Rum,Angleterre,70.0,46.0,Vieux
Single Still Rum Monymusk - 20 Years,Bristol Classic Rum,Angleterre,70.0,46.0,Vieux
Single Still Rum Port Mourant - 12 Years (Uitvlugt),Bristol Classic Rum,Angleterre,70.0,46.0,Vieux
Single Still Rum Versailles - 12 Years (Enmore),Bristol Classic Rum,Angleterre,70.0,46.0,Vieux
The Demerara Enmore Still - 12 Years,Bristol Classic Rum,Angleterre,70.0,46.0,Vieux
The Demerara Enmore - 18 Years,Bristol Classic Rum,Angleterre,70.0,46.0,Vieux
The Versailles Still Demerara - 16 Years (Enmore),Bristol Classic Rum,Angleterre,70.0,46.0,Vieux
The Versailles Still Demerara - 18 Years (Enmore),Bristol Classic Rum,Angleterre,70.0,46.0,Vieux
Trinidad Rum Caroni 1998-2019,Bristol Classic Rum,Angleterre,70.0,58.7,Vieux
Millesime 1997 (Caroni),Bristol Spirit,Angleterre,70.0,61.5,Vieux
Monymusk 1977 (Single Still Rum),Bristol Spirit,Angleterre,70.0,46.0,Vieux
VSOC (Caroni),Bristol Spirit,Angleterre,70.0,40.0,Vieux
ADC Sancti Spiritus - Aged 14 Years,Cadenheads,Ecosse,70.0,59.2,Vieux
AWM Enmore - Aged 16 Years,Cadenheads,Ecosse,70.0,64.9,Vieux
AWM Enmore - Aged 18 Years,Cadenheads,Ecosse,70.0,63.3,Vieux
BBR WIRD - 11 Years,Cadenheads,Ecosse,70.0,59.1,Vieux
BMC Epris - Aged 14 Years (1999),Cadenheads,Ecosse,70.0,45.3,Vieux
BMC Epris - Aged 15 Years (1999),Cadenheads,Ecosse,70.0,45.4,Vieux
BMMG Mount Gay - Aged 8 Years,Cadenheads,Ecosse,70.0,66.3,Vieux
BRS Rockley - 14 Years,Cadenheads,Ecosse,70.0,69.2,Vieux
BRS Rockley - 16 Years,Cadenheads,Ecosse,70.0,67.7,Vieux
"Caribbean Rum (57,7°)",Cadenheads,Ecosse,70.0,57.7,Vieux
"Caribbean Rum (58,8°)",Cadenheads,Ecosse,70.0,58.8,Vieux
Classic Green Label,Cadenheads,Ecosse,70.0,50.0,Vieux
Classic Rum,Cadenheads,Ecosse,70.0,50.0,Vieux
CMA Sancti Spiritus - Aged 17 Years (1999-April 2016),Cadenheads,Ecosse,70.0,62.6,Vieux
CMA Sancti Spiritus - Aged 17 Years (1999-December 2016),Cadenheads,Ecosse,70.0,62.2,Vieux
CRV Long Pond - 13 Years,Cadenheads,Ecosse,70.0,70.4,Vieux
CRV Long Pond - 20 Years,Cadenheads,Ecosse,70.0,73.0,Vieux
CRV Long Pond - 22 Years,Cadenheads,Ecosse,70.0,69.8,Vieux
FSPD South Pacific - 12 Years,Cadenheads,Ecosse,70.0,60.7,Vieux
FSPD South Pacific - 13 Years,Cadenheads,Ecosse,70.0,59.6,Vieux
Gardel Distillery - Aged 18 Years,Cadenheads,Ecosse,70.0,57.2,Vieux
Gardel Distillery - Aged 20 Years,Cadenheads,Ecosse,70.0,57.8,Vieux
GM Uitvlugt - Aged 24 Years,Cadenheads,Ecosse,70.0,69.0,Vieux
GM Uitvlugt - Aged 25 Years,Cadenheads,Ecosse,70.0,70.2,Vieux
GM Uitvlugt - Aged 30 Years (1974-2004),Cadenheads,Ecosse,70.0,61.5,Vieux
GM Uitvlugt - Aged 30 Years (1974-2005),Cadenheads,Ecosse,70.0,60.3,Vieux
GMBV Bellevue - Aged 16 Years,Cadenheads,Ecosse,70.0,57.1,Vieux
GMBV Bellevue - Aged 17 Years,Cadenheads,Ecosse,70.0,54.3,Vieux
Green Label Barbados - Aged 11 Years (West Indies),Cadenheads,Ecosse,70.0,46.0,Vieux
Green Label Barbados - Aged 15 Years (West Indies),Cadenheads,Ecosse,70.0,46.0,Vieux
Green Label Barbados - Aged 18 Years,Cadenheads,Ecosse,70.0,46.0,Vieux
Green Label Brazilian - Aged 12 Years,Cadenheads,Ecosse,70.0,46.0,Vieux
Green Label Brazilian - Aged 13 Years,Cadenheads,Ecosse,70.0,46.0,Vieux
Green Label Demerara - Aged 10 Years,Cadenheads,Ecosse,70.0,46.0,Vieux
"Green Label Demerara - Distilled 1975 (38,5°)",Cadenheads,Ecosse,70.0,38.5,Vieux
"Green Label Demerara - Distilled 1975 (40,6°)",Cadenheads,Ecosse,70.0,40.6,Vieux
Green Label Guyanan - Aged 9 Years,Cadenheads,Ecosse,70.0,46.0,Vieux
Green Label Guyanan - Aged 15 Years,Cadenheads,Ecosse,70.0,46.0,Vieux
Green Label Haitian - Aged 7 Years,Cadenheads,Ecosse,70.0,46.0,Vieux
Green Label Haitian - Aged 9 Years,Cadenheads,Ecosse,70.0,46.0,Vieux
Green Label Jamaican Rum - Aged 10 Years,Cadenheads,Ecosse,70.0,46.0,Vieux
Green Label Jamaican Rum - Aged 13 Years,Cadenheads,Ecosse,70.0,46.0,Vieux
Green Label Jamaican Rum - Aged 25 Years (Long Pond),Cadenheads,Ecosse,70.0,46.0,Vieux
Green Label Jamaican Rum - Aged 30 Years,Cadenheads,Ecosse,70.0,51.8,Vieux
Green Label Nicaraguan Rum - Aged 9 Years,Cadenheads,Ecosse,70.0,46.0,Vieux
Green Label Nicaraguan Rum - Aged 12 Years,Cadenheads,Ecosse,70.0,46.0,Vieux
Green Label Panama Rum - Aged 15 Years,Cadenheads,Ecosse,70.0,46.0,Vieux
HLCF Hampden - Aged 13 Years,Cadenheads,Ecosse,70.0,66.2,Vieux
HTR Caroni - Aged 18 Years,Cadenheads,Ecosse,70.0,65.8,Vieux
HTR Caroni - Aged 20 Years,Cadenheads,Ecosse,70.0,60.6,Vieux
IRW Long Pond - 10 Years (1986-1996),Cadenheads,Ecosse,70.0,73.6,Vieux
IRW Long Pond - 10 Years (1986-1997) - 71.9°,Cadenheads,Ecosse,70.0,71.9,Vieux
IRW Long Pond - 10 Years (1986-1997) - 75°,Cadenheads,Ecosse,70.0,75.0,Vieux
IRW Long Pond - 13 Years,Cadenheads,Ecosse,70.0,70.1,Vieux
IRW Long Pond - 18 Years (1986-2004),Cadenheads,Ecosse,70.0,68.3,Vieux
IRW Long Pond - 18 Years (1986-2005),Cadenheads,Ecosse,70.0,67.5,Vieux
JMLR Hampden - Aged 8 Years,Cadenheads,Ecosse,70.0,63.2,Vieux
JMLR Hampden - Aged 12 Years (2000-2012),Cadenheads,Ecosse,70.0,62.1,Vieux
JMLR Hampden - Aged 12 Years (2002-2014),Cadenheads,Ecosse,70.0,61.6,Vieux
JMWP Worthy Park - Aged 11 Years,Cadenheads,Ecosse,70.0,57.9,Vieux
KFM Enmore - 12 Years,Cadenheads,Ecosse,70.0,66.0,Vieux
KFM Enmore - 16 Years,Cadenheads,Ecosse,70.0,63.9,Vieux
MBFS Foursquare - 11 Years,Cadenheads,Ecosse,70.0,60.6,Vieux
MEV Enmore - 26 Years,Cadenheads,Ecosse,70.0,57.2,Vieux
MPM Diamond - 14 Years,Cadenheads,Ecosse,70.0,59.1,Vieux
MPM Uitvlugt - 12 Years,Cadenheads,Ecosse,70.0,62.0,Vieux
MUI Uitvlugt - Aged 16 Years,Cadenheads,Ecosse,70.0,60.2,Vieux
NMC Volcano Nicaragua - Aged 11 Years,Cadenheads,Ecosse,70.0,62.0,Vieux
NMC Volcano Nicaragua - Aged 17 Years,Cadenheads,Ecosse,70.0,57.6,Vieux
PDW Caribbean Distillers LTD - Aged 15 Years,Cadenheads,Ecosse,70.0,63.0,Vieux
PDW Caribbean Distillers LTD - Aged 28 Years,Cadenheads,Ecosse,70.0,63.2,Vieux
PDW Caribbean Distillers LTD - Aged 29 Years,Cadenheads,Ecosse,70.0,60.9,Vieux
PDW Caribbean Distillers LTD - Aged 30 Years,Cadenheads,Ecosse,70.0,53.1,Vieux
PM Uitvlugt - Aged 14 Years,Cadenheads,Ecosse,70.0,70.6,Vieux
PM Uitvlugt - Aged 36 Years (1964-2000),Cadenheads,Ecosse,70.0,70.0,Vieux
PM Uitvlugt - Aged 36 Years (1964-2001),Cadenheads,Ecosse,70.0,69.3,Vieux
Port Morant Uitvlugt - Aged 30 Years,Cadenheads,Ecosse,70.0,73.3,Vieux
Port Morant Uitvlugt - Aged 32 Years,Cadenheads,Ecosse,70.0,72.1,Vieux
Providence Caroni - Aged 10 Years,Cadenheads,Ecosse,70.0,67.9,Vieux
Providence Caroni - Aged 12 Years,Cadenheads,Ecosse,70.0,66.3,Vieux
Providence Caroni - Aged 14 Years,Cadenheads,Ecosse,70.0,66.1,Vieux
REV Enmore - 11 Years,Cadenheads,Ecosse,70.0,70.0,Vieux
SFBT Travellers Distillery -  Aged 9 Years,Cadenheads,Ecosse,70.0,64.6,Vieux
SFBT Travellers Distillery -  Aged 11 Years,Cadenheads,Ecosse,70.0,63.4,Vieux
SLJD St Lucia Distillers -  Aged 9 Years,Cadenheads,Ecosse,70.0,70.8,Vieux
TMAH Trinidad Distillers - Aged 12 Years,Cadenheads,Ecosse,70.0,67.4,Vieux
10 Ans Port Mourant (Uitvlugt),AD Rattray,Ecosse,70.0,46.0,Vieux
TMAH Trinidad Distillers - Aged 19 Years,Cadenheads,Ecosse,70.0,68.3,Vieux
TMAH Trinidad Distillers - Aged 21 Years,Cadenheads,Ecosse,70.0,66.9,Vieux
TMAH Trinidad Distillers - Aged 24 Years,Cadenheads,Ecosse,70.0,62.6,Vieux
TMAH Trinidad Distillers - Aged 25 Years,Cadenheads,Ecosse,70.0,64.3,Vieux
TMCG Caroni - Aged 20 Years (Whisk-e Ltd),Cadenheads,Ecosse,70.0,62.5,Vieux
TMCG Caroni - Aged 21 Years,Cadenheads,Ecosse,70.0,61.6,Vieux
VNL Enmore - 30 Years,Cadenheads,Ecosse,70.0,62.9,Vieux
VNL Enmore - 36 Years,Cadenheads,Ecosse,70.0,62.9,Vieux
VSG Enmore - 10 Years,Cadenheads,Ecosse,70.0,75.7,Vieux
VSG Enmore - 11 Years,Cadenheads,Ecosse,70.0,74.2,Vieux
VSG Enmore - 13 Years,Cadenheads,Ecosse,70.0,71.6,Vieux
VSG Enmore - 15 Years,Cadenheads,Ecosse,70.0,72.5,Vieux
Warehouse Tasting - Blended Rum,Cadenheads,Ecosse,70.0,62.0,Vieux
WIRR (WIRD) - 12 Years (1986-1998),Cadenheads,Ecosse,70.0,74.1,Vieux
WIRR (WIRD) - 12 Years (1986-1999),Cadenheads,Ecosse,70.0,73.4,Vieux
XPD Enmore - Aged 28 Years,Cadenheads,Ecosse,70.0,67.1,Vieux
XPD Enmore - Aged 29 Years,Cadenheads,Ecosse,70.0,64.7,Vieux
XPD Enmore - Aged 32 Years,Cadenheads,Ecosse,70.0,61.8,Vieux
Single Estate Australia - Aged 4 Years (Beenleigh),Cane Island,Pays-Bas,70.0,43.0,Vieux
Single Estate Belize - Aged 9 Years (Travellers),Cane Island,Pays-Bas,70.0,43.0,Vieux
Single Estate Barbados - Aged 8 Years (Foursquare),Cane Island,Pays-Bas,70.0,43.0,Vieux
Single Estate Dominican Republic - Aged 5 Years (Barceló),Cane Island,Pays-Bas,70.0,43.0,Vieux
Single Estate Guadeloupe - Aged 3 Years (Bonne Mere),Cane Island,Pays-Bas,70.0,43.0,Vieux
Single Estate Nicaragua - Aged 12 Years,Cane Island,Pays-Bas,70.0,43.0,Vieux
Single Estate Trinidad - Aged 8 Years (Angostura),Cane Island,Pays-Bas,70.0,43.0,Vieux
Single Island Blend Barbados - Extra Old,Cane Island,Pays-Bas,70.0,40.0,Vieux
Single Island Blend Cuba - Gran Añejo,Cane Island,Pays-Bas,70.0,40.0,Vieux
Single Island Blend Jamaica - Superior Reserve,Cane Island,Pays-Bas,70.0,40.0,Vieux
Single Island Blend Trinidad,Cane Island,Pays-Bas,70.0,40.0,Vieux
Fine Old Trinidad Rum (TDL),Caribbean Jack,Allemagne,70.0,43.0,Vieux
Barbados 1986 (West Indies),Caribbean Reserve,Ecosse,70.0,46.0,Vieux
Brut de Fûts - 1980 Sainte-Luce (Trois Rivieres),Chantal Comte,France,70.0,58.0,Vieux
Brut de Fûts - Hors-dAge (Bielle),Chantal Comte,France,70.0,58.0,Vieux
Brut de Fûts - Hors-dAge (Non Filtre) - Bielle,Chantal Comte,France,70.0,58.0,Vieux
Cuvee Caribaea - Edition Numerotee (Distillerie du Simon),Chantal Comte,France,70.0,50.16,Vieux
Fighting Spirit Blue (Distillerie du Simon),Chantal Comte,France,70.0,50.0,Vieux
Fighting Spirit Gold (Distillerie du Simon),Chantal Comte,France,70.0,50.0,Ambre
Fighting Spirit Red (Bielle),Chantal Comte,France,70.0,50.0,Vieux
La Tour De LOr - 2002 (La Favorite),Chantal Comte,France,70.0,54.4,Vieux
La Tour De LOr - Blanc 2016 (HSE),Chantal Comte,France,70.0,46.04,Blanc
La Tour De LOr - Bielle (55°),Chantal Comte,France,70.0,55.0,Vieux
"La Tour De LOr - Bielle (56,6°)",Chantal Comte,France,70.0,56.6,Vieux
La Tour De LOr - Bourbon Finish (HSE),Chantal Comte,France,70.0,46.5,Vieux
La Tour De LOr - Hors dAge (HSE),Chantal Comte,France,70.0,45.0,Vieux
La Tour De LOr - La Mauny 2001,Chantal Comte,France,70.0,64.8,Vieux
La Tour De LOr - La Mauny 2005,Chantal Comte,France,70.0,51.5,Vieux
La Tour De LOr - La Mauny 2006,Chantal Comte,France,70.0,57.7,Vieux
Plantation de la Montagne Pelee - 1975 (Depaz),Chantal Comte,France,70.0,45.0,Vieux
Plantation de la Montagne Pelee - 1976 (Depaz),Chantal Comte,France,70.0,45.0,Vieux
Plantation de la Montagne Pelee - XO (Depaz),Chantal Comte,France,70.0,45.0,Vieux
Sainte-Luce 1977 (Trois Rivieres),Chantal Comte,France,70.0,45.0,Vieux
Batyse XO (Panama),Cherry Rocher,France,70.0,40.0,Vieux
Dreambay XO (Belize),Cherry Rocher,France,70.0,40.0,Vieux
Hauban 5 Ans dAge (Marie Galante),Cherry Rocher,France,70.0,40.0,Vieux
Pewoke XO (Barbade),Cherry Rocher,France,70.0,40.0,Vieux
Zaye XO (Jamaique),Cherry Rocher,France,70.0,40.0,Vieux
Zwazo XO (Martinique),Cherry Rocher,France,70.0,45.0,Vieux
Australia 11 Ans - Cask #ASS52 - 2007,Compagnie Des Indes,France,70.0,43.0,Vieux
Australia 11 Ans - Cask #ASS53 - 2007,Compagnie Des Indes,France,70.0,43.0,Vieux
Australia 11 Ans - Cask #ASS54 - 2007,Compagnie Des Indes,France,70.0,43.0,Vieux
Barbados 9 Ans - Cask #MB45 - 2006 (Foursquare),Compagnie Des Indes,France,70.0,62.1,Vieux
Barbados 9 Ans - Cask #MB46 - 2006 (Foursquare),Compagnie Des Indes,France,70.0,62.1,Vieux
Barbados 10 Ans - Cask #BFD14 - 2007 (Foursquare),Compagnie Des Indes,France,70.0,43.0,Vieux
Barbados 10 Ans - Cask #BFD15 - 2007 (Foursquare) - Cask Strength,Compagnie Des Indes,France,70.0,62.1,Vieux
Barbados 10 Ans - Cask #BFD18 - 2007 (Foursquare),Compagnie Des Indes,France,70.0,43.0,Vieux
Barbados 10 Ans - Cask #BFD19 - 2007 (Foursquare) - Cask Strength - Salon du Rhum,Compagnie Des Indes,France,70.0,62.9,Vieux
Barbados 10 Ans - Cask #BFD27 - 2007 (Foursquare) - Cask Strength,Compagnie Des Indes,France,70.0,62.1,Vieux
Barbados 12 Ans - Cask #BD91 - 2003 (Foursquare),Compagnie Des Indes,France,70.0,45.0,Vieux
17 Ans Caroni (Cask #213),AD Rattray,Ecosse,70.0,63.6,Vieux
18 Ans Caroni,AD Rattray,Ecosse,70.0,46.0,Vieux
18 Ans Pampero,AD Rattray,Ecosse,70.0,48.4,Vieux
25 Ans Monymusk (Cask #10),AD Rattray,Ecosse,70.0,46.0,Vieux
"From Hampden, 15 Years Old - Single Estate Jamaican Rum",Adelphi Selection,Ecosse,70.0,54.3,Vieux
"From Monymusk, 14 Years Old - Single Estate Jamaican Rum (Cask #JM2)",Adelphi Selection,Ecosse,70.0,58.8,Vieux
Cherry Spiced,Admiral Vernons Old J,Angleterre,70.0,35.0,Spiced
Dark Spiced,Admiral Vernons Old J,Angleterre,70.0,40.0,Spiced
Gold Spiced,Admiral Vernons Old J,Angleterre,70.0,40.0,Spiced
Silver,Admiral Vernons Old J,Angleterre,70.0,35.0,Spiced
Barbados 12 Ans - Cask #BD92 - 2003 (Foursquare),Compagnie Des Indes,France,70.0,45.0,Vieux
Barbados 16 Ans - Cask #BD24 - 1998 (Foursquare),Compagnie Des Indes,France,70.0,45.0,Vieux
Barbados 16 Ans - Cask #BD36 - 1998 (Foursquare),Compagnie Des Indes,France,70.0,45.0,Vieux
Barbados 16 Ans - Cask #BD47 - 1998 (Foursquare),Compagnie Des Indes,France,70.0,45.0,Vieux
Barbados 16 Ans - Cask #MRS236 - 1998 (Foursquare) - Cask Stength,Compagnie Des Indes,France,70.0,60.0,Vieux
Barbados 16 Ans - Cask #FS9 - 1999 (Foursquare),Compagnie Des Indes,France,70.0,62.0,Vieux
Barbados 16 Ans - Cask #FS20 - 1999 (Foursquare),Compagnie Des Indes,France,70.0,62.0,Vieux
Barbados 20 Ans - Cask BVR5 - 1996,Compagnie Des Indes,France,70.0,45.0,Vieux
Belize 8 Ans - Cask #B86 - 2005 (Travellers),Compagnie Des Indes,France,70.0,44.0,Vieux
Belize 8 Ans - Cask #SF17 - 2005 (Travellers),Compagnie Des Indes,France,70.0,44.0,Vieux
Belize 8 Ans - Cask #SF48 - 2005 (Travellers),Compagnie Des Indes,France,70.0,64.0,Vieux
Belize 11 Ans - Cask #BL11 - 2005 (Travellers),Compagnie Des Indes,France,70.0,66.2,Vieux
Belize 11 Ans - Cask #BL14 - 2005 (Travellers) - Cask Strength,Compagnie Des Indes,France,70.0,66.2,Vieux
Belize 11 Ans - Cask #BL22 - 2005 (Travellers),Compagnie Des Indes,France,70.0,43.0,Vieux
Boulet de Canon n°2,Compagnie Des Indes,France,70.0,46.0,Vieux
Boulet de Canon n°3,Compagnie Des Indes,France,70.0,46.0,Vieux
Boulet de Canon n°4,Compagnie Des Indes,France,70.0,46.0,Vieux
Boulet de Canon n°5,Compagnie Des Indes,France,70.0,46.0,Vieux
Boulet de Canon n°6,Compagnie Des Indes,France,70.0,46.0,Vieux
Boulet de Canon n°7,Compagnie Des Indes,France,70.0,46.0,Vieux
