name,company,country,price,ratings,score,type,rum_url,img_url,br_score
Mulata Anejo Reserva,Unknown,Cuba,0,13,6.2,Gold,/brands/815-mulata-anejo-reserva,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/815/small_Ron_Mulata_Anejo_Reserva_rum.png,5.539776941
Mulata Blanco Reserva 3-Year,Unknown,Cuba,0,9,5.3,Gold,/brands/3876-mulata-blanco-reserva-3-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/3876/small_ron-mulata-blanco-reserva-3-year.png,5.008787672
Mulata Carta Blanca 3-Year,Unknown,Cuba,0,1,6,Aged,/brands/11316-mulata-carta-blanca-3-year,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.875512546
Mulata Elixir De Ron,Unknown,Cuba,0,9,5.2,Flavored,/brands/4040-mulata-elixir-de-ron,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/4040/small_Ron_Mulata_Elixir_De_Ron_rum_400px.png,4.964295061
Mulata Palma Superior,Unknown,Cuba,0,3,6,Aged,/brands/5170-mulata-palma-superior,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/5170/small_mulata-palma-superior.png,5.033578515
Mulata Reserva Real 12-Year,Unknown,Cuba,0,3,5.3,Aged,/brands/5376-mulata-reserva-real-12-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/5376/small_mulata-reserva-real-12-year.png,4.885983033
Mulata Silver Dry,Unknown,Cuba,0,10,5.7,Light,/brands/816-mulata-silver-dry,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/816/small_Ron_Mulata_Silver_Dry_rum.png,5.210935618
Mulata 19-Year,Unknown,Cuba,0,1,7,Aged,/brands/4037-mulata-19-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/4037/small_Ron_Mulata_19-Year_rum_400px.png,4.957291548
Murderer's Bay White,Unknown,New Zealand,0,1,3,Light,/brands/7326-murderer-s-bay-white,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.63017554
Murray McDavid Guyana,Murray McDavid,Caribbean,0,1,8,Aged,/brands/1069-murray-mcdavid-guyana,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1069/small_Murray_McDavid_Guyana_rum.png,5.03907055
Murray McDavid Nicaragua,Murray McDavid,Caribbean,0,0,0,Aged,/brands/1068-murray-mcdavid-nicaragua,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1068/small_Murray_McDavid_Nicaragua_rum.png,4.77536295
Myanmar Special Finest,Unknown,Myanmar,0,1,7,Aged,/brands/11079-myanmar-special-finest,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/11079/small_myanmar-special-finest.png,4.957291548
Myers's 10 Legend,Myers's,Jamaica,0,8,8.1,Aged,/brands/571-myers-s-10-legend,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/571/small_Myers_s_10_Legend_rum.png,6.158605553
Myers's Original Dark,Myers's,Jamaica,0,274,5.8,Dark,/brands/572-myers-s-original-dark,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/572/small_Myerss_original_dark_rum.png,5.759664895
Myers's Planters Punch,Myers's,Jamaica,0,1,7,Dark,/brands/8648-myers-s-planters-punch,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/8648/small_myers-s-planters-punch.png,4.957291548
Myers's Platinum White,Myers's,Jamaica,0,17,5.5,Light,/brands/1442-myers-s-platinum-white,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1442/small_Myerss_Platinum_White_rum.png,5.211766375
Naga Cask Aged,Unknown,Indonesia,0,19,6.2,Aged,/brands/6162-naga-cask-aged,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/6162/small_naga-rum-indonesia-distillery-cask-aged.png,5.670825246
Naga Triple Wood,Unknown,Indonesia,0,3,7,Aged,/brands/8122-naga-triple-wood,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/8122/small_naga-triple-wood.png,5.244429203
Naked in Jamaica Dark,Unknown,Jamaica,0,1,7,Dark,/brands/7027-naked-in-jamaica-dark,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/7027/small_naked-in-jamaica-dark.png,4.957291548
Naked Spirits Banana Foster,Unknown,United States,0,1,4,Flavored,/brands/11547-naked-spirits-banana-foster,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.711954542
Naked Spirits Classic,Unknown,United States,0,1,3,Dark,/brands/11548-naked-spirits-classic,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.63017554
Naked Spirits Spiced,Unknown,United States,0,1,3,Spiced,/brands/11546-naked-spirits-spiced,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.63017554
Naked Turtle White,Naked Turtle,United States,0,25,7.8,Light,/brands/1609-naked-turtle-white,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1609/small_naked_turtle_white_rum_400px_b.png,6.862581782
Nanotrade GmbH Spartanos_rum_liqueur,Unknown,Germany,0,1,7,Aged,/brands/8449-nanotrade-gmbh-spartanos_rum_liqueur,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.957291548
Naud Cognac Cask Finish 15-Year,Unknown,France,0,2,7,Aged,/brands/6593-naud-cognac-cask-finish-15-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/6593/small_naud-cognac-cask-finish-15-year.png,5.111713716
Naud Hidden Loot,Unknown,France,0,4,8.3,Spiced,/brands/6465-naud-hidden-loot,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/6465/small_naud-hidden-loot.png,5.701188807
Naud 15-Year,Unknown,France,0,13,6.7,Aged,/brands/6658-naud-15-year,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/6658/small_naud-15-year.png,5.808060708
Nauti Spirits Straw,Unknown,United States,0,0,0,Gold,/brands/9326-nauti-spirits-straw,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.77536295
